Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
The Tale of Ruby Rose,4.3,Abel Salazar,Ariadne Welter,Carmen Montejo,"Drama, Horror, Thriller",A modern retelling of the Oscar Wilde novel.
Deccal 2,9,Barbara Steele,Walter Brandi,Mirella Maravidi,Horror,"A man comes into possession of an ancient Aztec doll. However, the doll is possessed by an evil spirit, which takes over his body."
Dance of the Damned,6.4,Starr Andreeff,Cyril O'Reilly,Debbie Nassar,"Drama, Horror, Romance","A vampire follows his instincts to a strip joint where he focuses in on one of the performers. He picks her for his meal because she is contemplating suicide, but he wants to share her life..."
She Was So Pretty,4.3,Amanda Butler,Garrett Chewning,Justin Ewing,Horror,»
"Cuadecuc, vampir",6.8,Christopher Lee,Herbert Lom,Soledad Miranda,"Documentary, Horror","Valerie Vestron, is looking for a vacation from her life. Her friends have a plan to get her out of the house and get her to a secluded cabin. They plan to throwback some beer, and unwind, ..."
Shadows,7.8,Gwyneth Strong,George Waring,Jenny Agutter,"Family, Horror",»
Milk,5.1,Cameron Brodeur,Anana Rydvald,Shinji Takeda,"Short, Drama, Horror","An analysis of the construction mechanism for the magic in dominant narrative cinema though the filming of Count Dracula, a commercial film by Jesús Franco."
The Incite Mill,5.7,Kin'ya Kitaôji,Nagisa Katahira,Rufio Luey,"Horror, Mystery, Thriller",Anthology series of scary stories for children.
Halloween Reflections,7.8,Aniko Kaszas,Adam Maros,Michael Nouri,Horror,"On a late night, a young teen goes into the kitchen for a glass of milk. Upon encountering his sleepless mother, he quickly realizes things are not as they seem."
The Psychic,5.2,Zach Galligan,Catherine Mary Stewart,Kay Callard,"Horror, Thriller","Ten people who agree to take the same lucrative ""job"" find themselves locked in an underground complex and forced to play a murder game for seven days."
Cat Girl,5.2,Barbara Shelley,Robert Ayres,Jack Taylor,Horror,"It's 2018 and movie monsters like Freddy, Jason and Chucky exist only on the big screen. However infamous serial killer Michael Myers is very much real. Twenty years have passed since the ..."
Doctor Jekyll y el Hombre Lobo,5.7,Paul Naschy,Shirley Corrigan,Yvonne Nielson,Horror,»
Blood Thirst,4.4,Robert Winston,Katherine Henryk,Inés Zahmoul,Horror,The college student Patrick Costello shares an apartment with his childhood friend Nick and has a crush on his professor Laurel Young. Patrick has premonitions through dreams and daydreams ...
La petite mort,3.3,Manoush,Andreas Pape,Yure Covich,"Horror, Thriller",»
Wyrmwood TV,5.5,Luke McKenzie,Jay Gallagher,Cheryl Miller,"Adventure, Horror, Mystery",A young woman inherits a family curse that turns her into a murderous feline when she is angered.
Doctor Death: Seeker of Souls,5.6,John Considine,Barry Coe,Lindsay Bennett,Horror,Paul Naschy returns as El Hombre Lobo for the sixth time as he searches for a cure to his full moon maddness by visiting the grandson of the infamous Dr. Jekyll. What ensues next is a ...
Seizure,6.2,Ryan Simons,Jimmy Allen,Steve Dumais,Horror,»
Stabbed,2.8,Leila Bafageeh,Joshua Patrick Dudley,Tristan Riggs,"Short, Horror","A sex-crimes specialist from New York travels to the Philippines to help his friend, a Manila homicide detective, solve a series of murders."
Breed,7.3,Bryan Fisher,Paxton Singleton,Thai Edwards,"Drama, Horror, Sci-Fi","Three friends, Simon, Nina and Dodo, travel to Mallorca but their flight is delayed in Frankfurt. Accidentally they get mugged and wind up at a restaurant called ""Maison de la Petite Mort"",..."
Demon,7.4,Ramon Antonio,Michael Dionne,Stephanie Maheu,Horror,»
Night Shadow,5.1,Brenda Vance,Rick Scott,Philip Hersh,Horror,An evil immortal magician on a killing spree targets one specific couple in an attempt to prolong his life through soul transference.
23:59,3.2,Tedd Chan,Stella Chung,Tye Evans,Horror,A young gangster forced into trafficking girls goes into hiding when a deal goes wrong but when the girl unleashes her supernatural curse he must decide between his love for her or running for his life.
Delerium,3.6,Tara Beier,Kate Dickson,Ri Walton,Horror,Several teens are terrorized by Ghosface in this 'Stab' short.
Blood Gnome,4.9,Vinnie Bilancio,Melissa Pursley,Julissa,Horror,A young boy guides what's left of his class to safety as the world collapses into a post-apocalypse.
House of Evil,3.3,Juan Ibáñez,Boris Karloff,Steve Bradley,"Horror, Mystery","When the embodiment of evil rises to destroy Earth and all that we know, can the human race defend itself or will it succumb to the forces of evil. When you enter the world of this terrifying new anthology, things are never what they seem."
She Who Must Burn,6.4,Sarah Smyth,Bart Anderson,Kara Saadet Schwarz,"Drama, Horror, Thriller",Two years have passed since the last GhostFace attack and survivor Shannon Nightingale is back on her feet in a new town. Shannon has turned her trauma into motivation and has become a ...
Catalina,6.6,Lena Marie,Cristian El Nino Sanchez Jr.,Renato Pozzetto,Horror,»
Gran bollito,3.9,Shelley Winters,Max von Sydow,Carley Coakley,"Drama, Horror, Thriller","Based on the story by Stephen Graham Jones, two young women learn the truth behind a spooky hotel industry superstition."
Morbius: The Living Vampire,8,Chaz Dray Schoenbeck,Adam Michaels,Greg Kerouac,"Short, Action, Horror","Big shot TV newswoman returns home for a vacation, as several of the town's residents start dying under mysterious circumstances."
555,4.8,Mara Lynn Bastian,Charles Fuller,Rydia Kim,Horror,"An army recruit was found dead during a 24km road march. After the death of the recruit, strange things started to happen, haunting all the soldiers in the barracks."
Under the Knife,5.2,Jin-geun Kim,Jyeong-ah Kim,Simon Cotton,"Horror, Thriller","A 19th century Gothic Horror about a woman trapped in a marriage of nightmarish proportion, in which she must escape her dangerously obsessed, and crazed husband or face the consequences."
The Monster,4,Richard Glover,Helen George,Sebastian Knapp,"Short, Comedy, Horror","When Daniel, a crime scene investigator, discovers the truth behind a series of bizarre sex murders, no one believes him."
High Plains Invaders,3.2,James Marsters,Cindy Sampson,Amy Jo Johnson,"Action, Horror, Sci-Fi","Relatives of a recently deceased man meet at his eerie castle for a reading of the will. They encounter a sinister piano player who turns out to be a toy maker, and his toys are imbued with murderous intentions."
Cold Hearts,4.6,Marisa Ryan,Robert Floyd,Tina Birchfield,"Thriller, Horror","When Angela (Sarah Smyth) refuses to leave her planned-parenthood clinic after it is shut down by the state, a family of fanatical evangelists vow to make her pay."
The Ghouls,5.7,Timothy Muskatell,Trent Haaga,Silvio Oddi,Horror,"Young college student, Catalina (played by Kara Saadet Schwarz), begins to experience extremely disturbing cases of sleep paralysis which may have rooted from an unsolved, brutal death in her family."
Death of the Virgin,5.8,Maria Grazia Cucinotta,Natasha Allan,Ron Kologie,"Horror, Mystery, Thriller","Lea, a mature Neapolitan woman who runs a box office in the Lotto in a northern city, has had thirteen children, but all but one have died from abortion or after a few months of life. The ..."
Iced,3.8,Debra De Liso,Doug Stevenson,Jake Cuenca,Horror,»
Villa Estrella,4.5,Shaina Magdayao,Maja Salvador,Ken Tsui,Horror,"In attempt to cure himself of a deadly blood disease, Dr. Michael Morbius takes his science too far. Now he must find his place in a world that will not accept him."
Bloody Knuckles,6.9,Adam Boys,Kasey Ryne Mazak,Rhett Giles,"Comedy, Horror","A spate of killings of teenagers by a maniac dressed like a hippie causes a detective to check the records for similar killings. He discovers that every five years, in the fifth month of ..."
Wolvesbayne,6.6,Mark Dacascos,Yancy Butler,Mike Noble,"Fantasy, Horror",»
Bachelor Games,3.5,Charlie Bewley,Jack Doolan,Cynthia Gower,"Action, Adventure, Comedy","Beverly travels to South Korea to get plastic surgery, but ends up unknowingly getting a computerized implant from a surgeon who maniacally turns his patients into beautiful killing machines."
Now You See Me,2.4,Jay Border,Jeff Fuell,Christopher Raff,"Drama, Horror, Thriller","Trying to resurrect his once successful career, an iconic monster falls in love with his leading lady on the set of a dubious film. The results are bloody hilarious."
Crack Whore,5.3,Julianne Tura,Mac Hinkle,Eric Clark,"Comedy, Horror",A wild west town hosts the strangest showdown of all: against an invading army of extraterrestrials. Outlaws and townspeople must join forces to survive.
Sorority Girls and the Creature from Hell,3.8,Len Lesser,Deborah Dutch,Jonathan Hansler,Horror,"A quiet town in New Jersey possesses a dark secret. Viktoria has given her life and soul to the ways of the vampire. Now, after almost a decade of stealing blood from local hospitals and ..."
Nocturnal Activity,4.5,Steven Dolton,Toni Lou Frost,Brenda Dickson,"Horror, Sci-Fi",»
Deathmaster,4.3,Robert Quarry,Bill Ewing,Cindy Jelic Matic,Horror,"Eric Hayes is a stringer. One notch below the lowest rung of the journalistic ladder. A video vulture preying on police chases, ambulance runs, and random street violence, selling his ..."
Mondo Cannibal,5.4,Helena Wagner,Claudio Morales,Marceline Hugot,"Adventure, Horror",»
Dr. Moreau's House of Pain,3.9,John Patrick Jordan,Jessica Lancaster,Peter Donald Badalamenti II,Horror,"In a big mansion, a scientist has been experimenting with humans and animals, mixing their DNA together."
Premutos - Der gefallene Engel,5.5,André Stryi,Christopher Stacey,Ella Wellmann,"Comedy, Horror","Premutos is the first of the fallen Angels, even before Lucifer. His Goal is to rule the world, the living and the dead. His son should pave the way for him and appears arbitrary throughout..."
"Mirror, Mirror IV: Reflection",3.2,Kim Mai Guest,Paul Emerson,Mary Kathleen Gordon,Horror,»
Sowkarpettai,2.6,Aarthi,Raai Laxmi,Madhavan,"Horror, Thriller","As a storm rages, five desperate people are caught in the mirror's power to reveal lost souls, broken dreams, second chances, and some very strange sexual vengeance."
"Dracula, Prisoner of Frankenstein",4.1,Dennis Price,Howard Vernon,Paca Gabaldón,Horror,The story is about two lovers who are murdered by villains. They come back as ghosts and start taking revenge on the people who killed them.
Campfire Tales,4.6,Paul Talbot,Gunnar Hansen,Robin Roberts,Horror,"Dracula kills another innocent victim and Dr. Seward decides it's time to wipe him off the face of the earth. Armed with a hammer and a wooden stake, he arrives at Castle Dracula and duly ..."
Boogeyman,3.8,Eddie McClintock,Amy Bailey,Emma Samms,Horror,»
The Look-See: Part III,7,Sean Brison,Belinda Gosbee,Jeremiah Hahn,"Short, Horror",A grizzled derelict tells a quartet of horror tales to a trio of young campers.
The Encounter,3.4,Clint James,Owen Conway,Megan Drust,"Horror, Sci-Fi",Boogeyman (2012) is not affiliated with the original Boogeyman from 2005.
La tía Alejandra,7,Diana Bracho,Isabela Corona,Manuel Ojeda,"Drama, Horror, Mystery","Lost in thought, a solitary man celebrates an anniversary, unaware that the evil rhyme in his hands, sooner or later, will demand an offering."
uk18,7,Shona McWilliams,Jamie Beddard,Ian Hart,"Drama, Horror, Thriller","When Collin Bastrow is found in the forest, alone and afraid, he has a shocking story to tell. As he struggles to recount the events of the previous night his memories return in a series of..."
Night of Fear,6,Norman Yemm,Carla Hoogeveen,Mike Dorsey,"Horror, Thriller",»
She Demons,4.5,Irish McCalla,Tod Griffin,Victor Sen Yung,"Horror, Sci-Fi","Old aunt Alejandra goes to live with a Mexican middle-class family; she's bitter and the children tease her and make her life miserable, but the old woman is truly a witch, and takes revenge."
Classroom 6,3.6,Valentina Kolaric,Mike McLaughlin,Maurice Mejia,"Horror, Mystery",A documentary film-maker suspects she is being brainwashed by a secret government organisation.
Scare Zone,5.4,Arian Ash,Chris Burns,Neil Brown Jr.,Horror,Insane sadistic hermit stalks and captures those who get lost in his part of the woods. A young woman whose car broke down is about to find out what he does with them next.
The Gorilla,4.9,Jimmy Ritz,Harry Ritz,Al Ritz,"Comedy, Horror","Heroic, but dull, Fred Maklin and beautiful, but spoiled, Jerrie Turner wash up on an uncharted tropical island. They are soon captured by ex-Nazi Colonel Osler, who also has imprisoned a ..."
The Hound of the Baskervilles,7.1,Arthur Conan Doyle,Will Knightley,Nicholas Woodeson,"Horror, Mystery, Crime",»
Prisoners of the Dead,8.8,Terence Rigby,Richard Satterwhite,Daniel George,"Action, Adventure, Comedy","A local reporter and her assembled TV crew go into a school haunted by a horrific past. The team spends the night locked inside the building, capturing any and everything they find."
The Dead Outside,4.2,Stephanie Wlosinski,Sandra Louise Douglas,Vivienne Harvey,"Horror, Mystery, Thriller","Scare Zone is OLIVER's pride and joy. Sure, it's just another strip-mall Halloween Horror House, but as always, he's put his heart and soul into it. The attraction is open for three nights ..."
Witchcraft 16: Hollywood Coven,3.4,Alton Milne,Noël VanBrocklin,Berna Roberts,Horror,»
R-Point,6.4,Molly Dougherty,Byung-ho Son,Sun-kyun Lee,"Action, Horror, War","When a wealthy man is threatened by a killer known as The Gorilla, he hires the Ritz Brothers to investigate. A real escaped gorilla shows up at the mansion just as the investigators arrive."
Paathi: the Half,7.8,Rajinikanth,Natalie Radford,Maryam d'Abo,"Drama, Horror",stars for the BBC as Sherlock Holmes in this faithful classic serial adaptation of Sir
Tomcat: Dangerous Desires,3.7,Richard Grieco,Roger Karl,Charles Dorat,"Horror, Thriller",'s most celebrated story.
The Golem,6.6,Harry Baur,Tennile Marie Goosic,Frank Converse,"Fantasy, Horror","A group of convicts have found themselves stuck between the living and the bloodthirsty undead. The world as we know it is changing, a deadly virus has hit the United States. In the heart ..."
Visit,5.4,Josh DeLozier,John Forsythe,Zhaoqi Shi,"Short, Horror, Thriller",»
Passenger,4.2,Dirk Benedict,Tao Guo,Kittipat Samarntragulchai,"Short, Horror","A neurological pandemic has consumed the population. April, a secretive young girl, and Daniel, a man desperate and bereaved, come together on an isolated farm. When a mysterious stranger ..."
Cruise Into Terror,5,Barbie Hsu,Kunatip Pinpradub,Justin Johnson Cortez,"Thriller, Horror",»
Croczilla,5.7,Brian Richard Garton,Alexia Quinn,Pâko Hayashiya,"Action, Comedy, Horror","A film crew shoots a gory movie with realistic special effects. The gore looks real, because it is. The film director, an evil warlock, need a blood sacrifice to complete his pact with ..."
Make Me Shudder 3,2.8,Conner Sorensen,Tomoharu Hasegawa,Steven Rostance,Horror,»
Six Men Getting Sick,6.4,Kai Atô,Simon Jarrett,Chris Grezo,"Animation, Short, Horror","During the Vietnam War, a South Korean base receives a radio transmission from a missing squad, presumed dead, and sends a platoon to rescue the lost squad from the R-Point."
666: Kreepy Kerry,3.2,Christopher Clarke,Daniel Grant,Plutarco Haza,Horror,"Creepy happenings in an abandoned mansion are attributed to the ghost of an ancient courtesan, back for revenge"
Detective Story,6.2,Belinda Fenty,Evangelina Sosa,Jasmine Cunningham,"Comedy, Crime, Drama","Kammaran, is in deep pain internally as he confronts the tears of many children in his soul everyday-the result of his own actions. He finally realizes that children are alter forms of god ..."
Immune,4,Ludwika Paleta,Sarah Giercksky,Patricia Medina,Horror,»
Dark Night,7.2,Xander Turian,Alaina Boukedes,Jamin Watson,Horror,"Jacki, a scientist involved in genetic research, meets Tom, a young modern dancer who is suffering from a degenerative nerve disease. Jacki experiments with using genetic material taken ..."
El libro de piedra,4.1,Bailey Blaise,Claude Dauphin,Josh Miller,"Drama, Fantasy, Horror",»
Rotten Love,5.9,Karl Malden,Jerry L. Buxbaum,Eric Roberts,"Short, Horror","The Golem, a giant creature created out of clay by a rabbi, comes to life in a time of trouble to protect the Jews of Prague from persecution."
Black Water Wilderness,2,Lawrence Anthony,Chelsea Mundae,Sandra Eloani,Horror,Be careful what you look for.
Phantom of the Rue Morgue,3.7,Erin Brown,Maureen McCormick,Michael Chieffo,"Crime, Horror, Mystery","Paris, late at night. Four friends are leaving a party. They get in a cab to go somewhere else. But that's the night when everything changes, the night when Paris burns in flames and then ..."
Devils of War,2.2,Shanley Caswell,Tim Colceri,Joanne O'Neill,"Action, Horror",»
I Was a Teenage Strangler,3.8,Eric Peter-Kaiser,Trevor Stovall,Suzuna Kinoshita,Horror,"An Egyptian sarcophagus that is cargo on a pleasure cruise ship has a secret - it contains the son of Satan, and its effects start to make the ship's passengers behave strangely."
Snow White: A Deadly Summer,4.8,James Martinez,P.J. Davey,Lisa Wilcox,Horror,A 36 foot crocodile goes on the rampage in Beijing after being moved from a peaceful Crocodile Farm and onto the menu of a local gangster.
Evilution,5.2,Neil Brownlee,Yui Horie,Daniel Jenkins,Horror,"A group of friends go on a vacation in Phuket after their high school graduation. They build their tents next to the beach but unfortunately for them, a huge storm forces them to move ..."
Aaron's Blood,4.2,Mao Ichimichi,Tony Becker,Victoria Lachelle,"Drama, Horror, Mystery",»
Under the Bridge,4.9,Udo Kier,Hakeem Kae-Kazim,Abbey Hoes,"Horror, Thriller","A video blogger's desperate search for his girlfriend, only visible via his video camera as hostile entities stalk him from the darkness, tearing away his reality to reveal a horrifying truth: this is their domain, he's their test subject."
Graveyard Stories,2.7,Lloyd Kaufman,Jim O'Rear,Virgil Franklin,Horror,Horror legends Lloyd Kaufman and Jim O'Rear take you on a spine-tingling journey through five blood-drenched tales that will make your skin crawl.
Five Across the Eyes,5.4,Ryan Thiessen,Sandra Paduch,Danielle Lilley,Horror,"The teenagers Isabella, Jamie, Melanie, Caroline and Stephanie are lost in a shortcut they took in their way back home. The inexperienced Bell is driving her mother's van and is worried ..."
Lazarus: Apocalypse,3.4,Natalie Victoria,Ray Capuana,Kevin Eugene Franklin,"Crime, Horror, Mystery",»
Blood Curse II: Asmodeus Rises,4.5,Melissa Hollett,Nathan Head,Keiron Hollett,Horror,"Lazarus: APOCALYPSE revolves around the character of George A. Lazarus (Ray Capuana, Emerging Past), an insurance investigator who schedules routine interviews with twelve employees and ..."
Last Rites,6.2,Cazimir Milostan,Noel Gugliemi,Howard Alonzo,"Action, Horror, Sci-Fi",»
The Owl House,4,Jennifer Robyn Jacobs,Alexandre Chen,Scott Dunn,"Animation, Adventure, Comedy","Alicia Stone returns in this gore-drenched sequel. Having lost all hope, husband Jason calls on the help of Paranormal TV host Tyson to confront the demonic forces that have plagued the Stone household."
Mandao of the Dead,5.3,Allen Maldonado,Sid Haig,Lauren Mae Shafer,"Comedy, Horror, Sci-Fi","In Los Angeles, a meteor bringing some sort of disease falls on a group of homeless and turns them into flesh eater zombies. Meanwhile, two rival gangs are dealing drugs with an ..."
Mimesis,7.4,Danielle Harris,Heather Langenkamp,Edward Bell,"Fantasy, Horror",»
Prank,4.9,Nicolas Gob,Helena Coppejans,Jean Collard,Horror,A teenager finds herself stuck in the Demon Realm and battles the forces of evil alongside a rebellious witch and a pint-sized warrior.
Cannibal,4.4,Allison Delk,Marilyn Thomas,Elyssia Thomas,"Horror, Romance, Thriller",Jay Mandao and his adult nephew Jackson use astral projection to reverse a ghost's death on Halloween.
Black Christmas: The Night Billy Came Home,6.2,Tony London,Dominique Swain,Julie McCullough,Horror,A group of horror fans find themselves unwilling participants in a nightmarish role playing game that pays homage to a classic horror film.
The Dark Field,5.5,Marie-Josee Dionne,Dylan Cook,Mark Fisher,"Drama, Horror",Jessica: A college co-ed gets more than she bargained for after playing a not-so-innocent telephone game and discovers that sometimes the wrong people just might call you back. Madison: As ...
The Plague Doctor,4.5,Dingdong Dantes,Abra,Ku Aquino,"Horror, Mystery",»
The Lady in White: October 30th,5,Shin-yeong Jang,Ji-min Kwak,Dong-kyu Lee,Horror,"Max is agoraphobic and lives in a cabin in the middle of nowhere. One night, he finds a beautiful unconscious woman (Bianca). Her body is covered with blood."
Kubot: The Aswang Chronicles 2,2.9,Betsy Palmer,Cody Newton,J.D. Hart,"Action, Comedy, Horror",The students of Delta Lambda Zeta thought the legend of Billy was a joke. The sorority begins receiving deranged phone calls which frightens them and leads to multiple missing members of Delta Lambda Sorority.
Red Eye,7.4,Brittney Karbowski,Eri Kitamura,Ui Miyazaki,Horror,"In WWI Germany, a famous conductor is attacked and transformed into a vampire, and must now choose between the woman he loves and avenging his only son's murder."
Bell Witch: The Movie,5,Peter Graves,Clint Walker,Jo Ann Pflug,"Drama, Horror","Upon being called to care for an elderly man, a young doctor finds himself trapped in deranged visions, mixing his reality with the obscure legend of an ancient italian mask and the echoes of a timeless love."
ChäoS;HEAd,8.8,Raghu Babu,Tanikella Bharani,Chethan Cheenu,"Animation, Horror, Mystery","Four years after the first series of disappearances, a new evil dons a Halloween costume and a new batch of rituals begin."
Scream of the Wolf,5.6,Chris Robinson,Mickey Rooney,Yvonne De Carlo,"Horror, Thriller",A family of bloodthirsty monsters descends on the city to take revenge on the man that caused the death of so many of their own.
Mantra 2,4.5,Mark Burns,Shirley Anne Field,David Oxley,"Crime, Horror, Mystery","A supernatural story about a mystic events occurring on the train, which had the route similar to the train which crashed many years ago."
The Intruder,7.3,Boogie2988,Vasilios Ieronymakis,Michael Hinz,Horror,"In the early 1800s, A family is torn apart after attracting the demonic attention of the Bell Witch. The only hope of escaping torment is death...and this ancient spirit is more than happy ..."
House of the Living Dead,4,Dagmar Hedrich,Werner Bruhns,Astrid Carolina Herrera,Horror,»
Se7en,4.6,Juan Carlos García,Estefanía López,Arthur Margetson,"Short, Comedy, Horror",A high school student who stumbles on a murder scene spirals into paranoid delusions as he becomes convinced the police are after him.
"Magdalena, vom Teufel besessen",6.6,Bela Lugosi,Shirley Grey,Carol Stanzione,"Drama, Horror, Thriller","A big-game hunter comes out of retirement to help track down a killer wolf, and begins to suspect that it isn't a wolf but an animal that can take human form."
The Wife of Judas,4.8,Andrew Jordan,Kimberly Woods,Dan Cortese,"Crime, Drama, Horror",A girl living with an old couple in their house as paying guest finds out that the old couple died years ago and the house where she lives is seized by police.
Phantom Ship,3.9,Joe Cortese,Gregory Sierra,Rich Pemberton,"Drama, Horror, Mystery","The lust for gold and the reading of a will brings eleven visitors to a remote island retreat, but an unseen, seemingly unstoppable evil follows to stalk them one by one. The bodies don't ..."
BnB HELL,5.5,Rick Styles,Chip Greenman,Neil Pearson,"Horror, Thriller",»
Something Is Out There,5.4,Helen McCrory,James Purefoy,Lizzie Stanton,"Horror, Sci-Fi","On a South African plantation, a maniac is on the loose, first killing the estate's animals, then starting on the human members."
Terror on Tour,8.5,Lyndsey Craine,Michaela Longden,Javed Khan,"Crime, Horror, Music",Seven - like the seven deadly sins or the Seven Wonders of the World? [Edit] This article refers to the 1995 version of Se7en. This page serves as an overflow. /Edit]
Frankenstein,5.3,Raj Kiran,Shoma Anand,Susanna Martinková,"Drama, Horror, Thriller","At a girls boarding school, a beautiful blonde orphan is possessed by an evil demon."
Book of Monsters,6.7,Andy J. Forest,Sonia Petrovna,Jenny McShane,"Comedy, Horror","Based on the original story by Martin Hahn, The Wife of Judas is filled with mystery and murder and keeps the viewers on the edge of the seat wondering what will happen next. (43 min)"
Khooni Mahal,3.2,Michael Paré,Ja Rule,Sefika Karaaslan,Horror,"During a horrific storm at sea, the crew realizes that there is a murderer among them who is killing them off one by one."
The House of Witchcraft,4.2,Özlem Begtas,Fatih Güler,Alex Ho,"Horror, Mystery",A young woman's hunt for her missing sister ends at a rundown bed and breakfast in the Hollywood Hills run by an ill-tempered woman called Mommy. Disturbing messages left by former guests suggest unsettling secrets lay buried there.
Furnace,3,Adam Forrest,Elizabeth Peterson,Paul Mercier,"Crime, Horror, Mystery",Jack Breslin was a somewhat maverick police detective paired (unofficially) with a beautiful alien possessing strange powers and abilities named Ta'Ra. Posing as his cousin and keeping her ...
Devil May Cry,6.7,Robin Atkin Downes,Jean Reno,Herbert Fux,"Action, Horror",»
Scary Endings,6.9,Miles Chandler,Adam J. Yeend,Sarah Scott,"Short, Horror, Mystery",A monthly thriller anthology series from the makers of 'Skypemare' in the vein of 'Tales from the Crypt' and 'Alfred Hitchcock Presents.'
Teenage Catgirls in Heat,3.5,Esmeralda Huffhines,Helen Griffiths,Dorothy Layne,"Comedy, Horror",An Egyptian cat goddess in the form of a statuette commands all local felines to surrender one of their nine lives so they can transform into beautiful women to mate with (and terminate) ...
One Must Fall,5.2,Lloyd Kaufman,John Wells,Daniel Felix de Weldon,Horror,»
Cry for the Strangers,5.3,Patrick Duffy,Cindy Pickett,Lawrence Pressman,"Horror, Mystery, Thriller",A horror-comedy slasher set in the 80's about a woman wrongfully fired from her office job and forced to take on a temporary job on a crime scene cleanup crew. With a maniacal serial killer...
House of Forbidden Secrets,5.3,Lew Temple,Dyanne Thorne,George Hardy,"Drama, Horror, Thriller",»
The Watch,4.3,Clea DuVall,Elizabeth Whitmere,James A. Woods,"Drama, Horror, Mystery",A psychiatrist and his wife move into a quaint coastal town only to discover that a sinister presence is lurking there.
Dark Exorcism,4.7,Grace Folsom,Lynn Justinger,Fiona Horrigan,"Drama, Horror, Mystery","Jacob Hunt has had some very bad breaks in life. His wife left him, his friends have all abandoned him, and his children barely see him! Jacob has been given an amazing gift and the chance ..."
The Child,3.2,Laurel Barnett,Rosalie Cole,Frank Janson,Horror,»
Flesh for the Beast,6.1,Jane Scarlett,Sergio Jones,Clark Beasley Jr.,"Fantasy, Horror","In this paranormal thriller, Cassie, a psych student, was kidnapped and traumatized as a child by a disturbed person. To exorcise her demons and to finish her thesis, she decides on an ..."
Don't Panic,4.4,Juan Piquer Simón,Ángel Aranda,Sandra Alberti,Horror,»
Nite Tales: The Movie,5.7,Flavor Flav,Dante Basco,Chico Benymon,"Horror, Thriller",A skeptical grad student and a renowned paranormal specialist investigate a potentially haunted home and the troubled woman inside whose affliction may be beyond the capacity of either of them.
Mirage,8.1,Jennifer McAllister,Todd Caldecott,Kenny Johnson,"Action, Horror, Thriller",A newly hired house-keeper in a secluded area is alarmed to discover that her boss's eleven-year-old daughter is using her supernatural powers to take revenge on the people she holds ...
The Curse of Dracula,7,Stephen Johnson,Michael Nouri,Antoinette Stella,"Horror, Thriller",»
Pipeline,6.5,Jason Momoa,Amanda Righetti,Kalani Robb,"Drama, Horror",Six parapsychologists investigate a reputed haunted mansion and are set upon by three flesh-eating succubus ladies under the control of the sinister warlock owner bent on finding a mysterious amulet to give himself more power.
Countdown,4.6,Pachara Chirathivat,Jarinporn Joonkiat,Pattarasaya Kreuasuwansri,"Horror, Thriller",A young couple are tricked into going into a sinister house where a coven of devil-worshipers waits for them.
The Presence,4.9,Lisa Banes,Richard Beymer,María Celedonio,"Adventure, Horror","Nite Tales is a horror anthology introduced by ""Flava Flav"" that includes two movies, Karma and Storm. ""Karma"" teaches four young thieves that crime does not pay. In ""Storm"" college ..."
Killjoy 3,7.1,Trent Haaga,Victoria De Mare,Al Burke,Horror,»
One Please,3.7,Michael Berryman,Catherine Burks,Sailor Holland,"Short, Horror","A smiling, sadistic and seemingly demonic young killer in black, who drives a black pick up truck, is hunting three young couples who came to the desert to drink, party and have sex."
Speak No Evil,3.4,Gabrielle Stone,Olivia Cavender,Carl Jensen IV,Horror,Count Dracula is alive and well and teaching college in 1979.
Gnaw,3.8,Sara Dylan,Rachel Mitchem,Oliver Squires,"Comedy, Horror","A group of people who repressed the grisly memories of what happened after a childhood swim to a pipeline, now find that they simply can't forget the past."
Rest in Pieces,2.8,Scott Thompson Baker,Lorin Jean Vail,Dorothy Malone,Horror,"Three Thai teens in New York City are planning the New Year's Party of their lives. They called Jesus, a drug dealer, to drop off some stuff at their apartment so they can celebrate and ..."
Swamp Zombies!!!,4.4,Brian Heffron,Jasmin St. Claire,Pamela Sutch,"Action, Horror",»
Castle of Evil,5.2,Scott Brady,Virginia Mayo,David Brian,"Horror, Mystery, Sci-Fi","Mixed assortment of people survive the crash of an airliner at sea; cast upon a shore of mysterious island they discover dangerous creatures, exploding bananas, mutations and a biological ..."
The Haunting of Mia Moss,4.3,Nicola Fiore,Brinke Stevens,Curtis Carnahan,Horror,»
R.S.V.P.,4.9,James M. Churchman,Sharon Bruneau,Scott Workman,"Comedy, Crime, Horror","The demon clown Killjoy is resurrected once again, but this time he is not given the name of his victim and is trapped in his realm. Using a magic mirror he lures four unsuspecting college ..."
Bad Reputation,3.2,Angelique Hennessy,Jerad Anderson,Danielle Noble,"Drama, Horror, Thriller",»
Starkweather,4.9,Brent Taylor,Shannon Lucio,Jerry Kroll,"Action, Crime, Drama",Mommy and daddy love you very much.
Bath Salt Zombies,6.2,Brandon Salkil,Erin R. Ryan,Ethan Holey,Horror,"When all the children in a small town become possessed, one mother refuses to believe that her daughter is lost to the devil and will do whatever it takes to keep her alive."
Ascent to Hell,6.3,Azura Skye,Cayleb Long,Bill Sage,"History, Horror, Thriller",A group of people staying in England discover that there are brutal cannibals in their midst.
