name,link,rating
Vegan Delights,/Restaurant_Review-g298298-d11965263-Reviews-Vegan_Delights-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Medan Selera Dato Tawhil Azar,/Restaurant_Review-g298298-d1161428-Reviews-Medan_Selera_Dato_Tawhil_Azar-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
E Poh Ayam Garam,/Restaurant_Review-g298298-d13164185-Reviews-E_Poh_Ayam_Garam-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Lok Hin Dim Sum,/Restaurant_Review-g298298-d8843577-Reviews-Lok_Hin_Dim_Sum-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Myth Expresso Bar,/Restaurant_Review-g298298-d12690702-Reviews-Myth_Expresso_Bar-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
A LI YAA Island Restaurant and Bar (Ipoh),/Restaurant_Review-g298298-d7702275-Reviews-A_LI_YAA_Island_Restaurant_and_Bar_Ipoh-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Kedai Kopi Ah Chow,/Restaurant_Review-g298298-d8685533-Reviews-Kedai_Kopi_Ah_Chow-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Hadramout Paradise,/Restaurant_Review-g298298-d3864687-Reviews-Hadramout_Paradise-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Hokkaido Japanese Cuisine,/Restaurant_Review-g298298-d5999583-Reviews-Hokkaido_Japanese_Cuisine-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restaurant Kim Wah,/Restaurant_Review-g298298-d10635276-Reviews-Restaurant_Kim_Wah-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Cakchibow Cafe,/Restaurant_Review-g298298-d9597147-Reviews-Cakchibow_Cafe-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Khun Mae Thai Restaurant,/Restaurant_Review-g298298-d13220097-Reviews-Khun_Mae_Thai_Restaurant-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Ayam Taugeh,/Restaurant_Review-g298298-d10032091-Reviews-Restoran_Ayam_Taugeh-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Baan Thai Restaurant,/Restaurant_Review-g298298-d10925981-Reviews-Baan_Thai_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restaurant Rasa Sayang Chicken Rice,/Restaurant_Review-g298298-d12908911-Reviews-Restaurant_Rasa_Sayang_Chicken_Rice-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Hock Kee Teochew Porridge Restaurant,/Restaurant_Review-g298298-d13795218-Reviews-Hock_Kee_Teochew_Porridge_Restaurant-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Breda Cafe,/Restaurant_Review-g298298-d13521358-Reviews-Breda_Cafe-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Tengood,/Restaurant_Review-g298298-d12636956-Reviews-Tengood-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Wah Chai Seafood,/Restaurant_Review-g298298-d13329555-Reviews-Wah_Chai_Seafood-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Ipoh Old Town Tart King,/Restaurant_Review-g298298-d13318054-Reviews-Ipoh_Old_Town_Tart_King-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Kedai Kopi Jen Jen,/Restaurant_Review-g298298-d12072311-Reviews-Kedai_Kopi_Jen_Jen-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Subway,/Restaurant_Review-g298298-d9680967-Reviews-Subway-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restoran Grandview,/Restaurant_Review-g298298-d7803173-Reviews-Restoran_Grandview-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Food & Desire Cafe,/Restaurant_Review-g298298-d8609378-Reviews-Food_Desire_Cafe-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Vegan life restoran,/Restaurant_Review-g298298-d8651289-Reviews-Vegan_life_restoran-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
The Deck,/Restaurant_Review-g298298-d8110933-Reviews-The_Deck-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Jose & Deli,/Restaurant_Review-g298298-d8696602-Reviews-Jose_Deli-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Home Made Yong Tow Fu Pasir Pinji Ipoh,/Restaurant_Review-g298298-d7209601-Reviews-Home_Made_Yong_Tow_Fu_Pasir_Pinji_Ipoh-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Yeop's Kitchen,/Restaurant_Review-g298298-d11918604-Reviews-Yeop_s_Kitchen-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
DIY Mini Hotpot,/Restaurant_Review-g298298-d10151115-Reviews-DIY_Mini_Hotpot-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Allongs Restaurant,/Restaurant_Review-g298298-d9803823-Reviews-Allongs_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Meeru Valley Resort,/Restaurant_Review-g298298-d10323706-Reviews-Meeru_Valley_Resort-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
