Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
I Know What You Did Last Summer,5.7,Jennifer Love Hewitt,Sarah Michelle Gellar,Anne Heche,"Horror, Mystery, Thriller",Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.
Raw,7.0,Garance Marillier,Ella Rumpf,Rabah Nait Oufella,"Drama, Horror","When a young vegetarian undergoes a carnivorous hazing ritual at vet school, an unbidden taste for meat begins to grow in her."
The Mist,5.4,Alyssa Sutherland,Gus Birney,Danica Curcic,"Drama, Horror, Sci-Fi","After an eerie mist rolls into a small town, the residents must battle the mysterious mist and its threats, fighting to maintain their morality and sanity."
47 Metres Down,5.7,Mandy Moore,Claire Holt,Matthew Modine,"Adventure, Drama, Horror","Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive."
Dracula Untold,6.3,Luke Evans,Dominic Cooper,Sarah Gadon,"Action, Drama, Fantasy","As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
Castle Rock,7.3,Scott Glenn,André Holland,Jane Levy,"Drama, Fantasy, Horror","Based on the stories of Stephen King, the series will intertwine characters and themes from the fictional town of Castle Rock."
From Dusk Till Dawn,6.4,Harvey Keitel,George Clooney,Juliette Lewis,"Action, Crime, Horror","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
My Friend Dahmer,6.3,Ross Lynch,Alex Wolff,Anne Heche,"Biography, Drama, Horror",A young
Scouts Guide to the Zombie Apocalypse,8.0,Tye Sheridan,Logan Miller,Joey Morgan,"Action, Comedy, Horror",struggles to belong in high school.
Shaun of the Dead,5.8,Simon Pegg,Nick Frost,Kate Ashfield,"Comedy, Horror","Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak."
Underworld: Blood Wars,6.6,Kate Beckinsale,Theo James,Tobias Menzies,"Action, Adventure, Fantasy","A man decides to turn his moribund life around by winning back his ex-girlfriend, reconciling his relationship with his mother, and dealing with an entire community that has returned from the dead to eat the living."
The Secret of Marrowbone,5.7,George MacKay,Anya Taylor-Joy,Charlie Heaton,"Drama, Horror, Thriller","Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
The Purge,7.1,Ethan Hawke,Lena Headey,Max Burkholder,"Horror, Sci-Fi, Thriller","A young man and his three younger siblings, who have kept secret the death of their beloved mother in order to remain together, are plagued by a sinister presence in the sprawling manor in which they live."
Bone Tomahawk,7.5,Kurt Russell,Patrick Wilson,Matthew Fox,"Adventure, Drama, Horror","A wealthy family are held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal."
The House with a Clock in Its Walls,4.9,Cate Blanchett,Jack Black,Sunny Suljic,"Family, Fantasy, Horror","In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers."
